uid, ndata, create_baseline, create_edna, decay, undecay, delete, restore, baseline
1, 3, 200, 382, 8948, 17684, 9031, 19442, 4689
51, 2, 97, 242, 6473, 14859, 7563, 16116, 3706
101, 5, 96, 220, 10871, 23724, 12591, 27077, 5857
151, 4, 115, 262, 9601, 20450, 10740, 22406, 5100
201, 4, 100, 233, 8842, 19448, 10502, 22140, 5098
251, 2, 101, 230, 8035, 19047, 9781, 20489, 4339
301, 2, 102, 236, 7625, 17513, 8746, 18396, 3788
351, 3, 104, 240, 8301, 19132, 9306, 21084, 4659
401, 1, 100, 232, 6657, 16506, 7301, 17251, 3273
451, 2, 100, 227, 6983, 15412, 7939, 16613, 3676
501, 4, 100, 222, 8945, 21333, 10459, 23834, 5302
551, 3, 103, 236, 8142, 18400, 9401, 20501, 4816
601, 4, 103, 231, 8638, 17840, 9802, 20276, 4906
651, 3, 97, 225, 8148, 18351, 9137, 20356, 4551
701, 3, 97, 225, 6952, 15095, 8509, 17102, 4076
751, 3, 96, 224, 8498, 19047, 9594, 20755, 4694
801, 1, 103, 240, 6928, 14113, 7337, 14473, 3493
851, 4, 99, 227, 9069, 20519, 10150, 22949, 5259
901, 2, 100, 228, 7339, 16611, 7767, 17071, 3654
951, 3, 99, 233, 6986, 15318, 8586, 17336, 4078
1001, 1, 97, 236, 6613, 15695, 7109, 15441, 3183
1051, 2, 104, 243, 6894, 15731, 8028, 17940, 3732
1101, 4, 108, 249, 7711, 16853, 9283, 19270, 4826
1151, 3, 104, 232, 7768, 18647, 8901, 20653, 4438
1201, 2, 97, 224, 7779, 17436, 8407, 18441, 3816
1251, 3, 100, 242, 8084, 17820, 9041, 19749, 4284
1301, 3, 98, 230, 7617, 16123, 8622, 17997, 4221
1351, 0, 99, 226, 7004, 18048, 7467, 18270, 3505
1401, 2, 97, 225, 8118, 18166, 8854, 19261, 4256
1451, 1, 98, 226, 6874, 14152, 6984, 14875, 3146
1501, 1, 103, 245, 6462, 14328, 7022, 14990, 3247
1551, 3, 104, 240, 8093, 15921, 10054, 19501, 4800
1601, 3, 110, 258, 8522, 18459, 9401, 21192, 4591
1651, 5, 107, 238, 10160, 22918, 11369, 25747, 5922
1701, 2, 107, 241, 7535, 17333, 8386, 17519, 4215
1751, 3, 101, 234, 7623, 17019, 8456, 19115, 4369
1801, 1, 106, 243, 6542, 15036, 7316, 15753, 3509
1851, 6, 107, 248, 10392, 21683, 11288, 26700, 5978
1901, 8, 97, 226, 12012, 27030, 14234, 30888, 7582
1951, 2, 101, 246, 7997, 19367, 8655, 20504, 4029
2001, 2, 99, 227, 7508, 18562, 8156, 19784, 3800
2051, 1, 99, 226, 7444, 17141, 7507, 17660, 3445
2101, 2, 104, 232, 7412, 15392, 8423, 16853, 4121
2151, 1, 97, 223, 7405, 17239, 7878, 17884, 3706
2201, 1, 98, 227, 6237, 13894, 6840, 14755, 3118
2251, 0, 101, 224, 6066, 15500, 6348, 15581, 2922
2301, 3, 103, 239, 8774, 21197, 10364, 23062, 4832
2351, 4, 97, 236, 9581, 21452, 10644, 23821, 5555
